Letter,Position,0
e,4,3734
s,0,3263
a,2,2644
e,3,2320
r,1,2297
o,1,2249
a,1,2147
t,4,1999
i,2,1950
o,2,1722
y,4,1609
e,1,1596
e,2,1576
c,0,1560
l,1,1520
n,3,1395
c,3,1370
u,2,1369
r,2,1355
s,3,1344
i,1,1322
a,3,1283
b,0,1243
r,4,1241
d,4,1240
l,3,1228
l,4,1194
h,1,1193
r,3,1191
i,3,1188
t,0,1168
p,0,1164
u,1,1112
h,4,1071
a,0,972
n,4,933
f,0,931
k,4,925
o,3,911
t,3,867
n,2,821
t,1,802
l,2,789
g,0,787
t,2,770
r,0,741
d,0,673
s,4,662
m,0,658
l,0,647
w,0,578
u,3,543
g,3,542
h,0,526
g,2,515
n,1,494
s,2,493
p,1,491
m,3,477
d,3,471
a,4,467
d,2,467
p,4,431
e,0,407
b,2,385
v,3,376
v,2,375
w,1,356
m,2,356
c,1,339
p,2,339
m,4,305
f,3,293
h,3,289
k,3,287
n,0,277
c,2,274
m,1,274
v,0,271
p,3,269
o,0,266
g,4,240
w,2,234
o,4,214
u,0,211
i,0,210
f,4,202
c,4,200
q,0,177
y,2,175
y,1,173
w,3,169
w,4,151
j,0,150
k,0,144
f,2,140
k,2,131
s,1,129
z,3,125
b,3,123
b,1,122
i,4,103
d,1,100
x,4,86
x,2,83
b,4,81
k,1,81
z,2,77
g,1,77
v,1,75
h,2,68
y,0,67
x,1,66
y,3,58
f,1,53
q,1,45
u,4,40
z,0,37
z,1,21
j,2,17
x,3,14
q,2,13
x,0,10
z,4,7
j,3,5
j,1,4
j,4,2
v,4,1
